GEOID,percentWhite,percentBlack,percentNative,percentAsian,percentHIPI,percentHispanic,percent_hs_grad,percent_some_college,percent_associates,percent_bachelors,percent_masters,percent_professional,percent_phd,pop_estimate,average_age,medincome_statenativeE,medincome_outofstateE,medincome_nativeE,medincome_foreignE,percent_male,avg_first_dose,rating_italian,rating_asian,rating_latin_american,avg_polarity_italian,avg_polarity_asian,avg_polarity_latin_american,avg_subjectivity_italian,avg_subjectivity_asian,avg_subjectivity_latin_american,High_Negativity_Asian,High_Subjectivity_Asian,High_negativity_Italian,High_subjectivity_Italian,High_negativity_LA,High_subjectivity_LA
"17031081500",62.002152852529605,2.195909580193756,0.000000000000000,25.941872981700755,0.000000000000000,9.860064585575888,4.029566046733429,1.478302336671435,0.000000000000000,46.351931330472098,22.150691463996186,20.243204577968527,4.959465903671912,4645.000000000000000,36.500000000000000,106184.000000000000000,95132.000000000000000,0.000000000000000,77115.000000000000000,0.418299246501615,1.020000000000000,0.021033264934633,-0.710924354790607,0.000000000000000,0.523101465108444,-0.566111697528730,0.000000000000000,-0.184520290760802,-0.419590577228612,0.000000000000000,"1","0","0","0","0","0"
"17031071500",85.350008120838069,3.248335228195550,0.000000000000000,7.048887445184343,0.000000000000000,2.290076335877862,2.394071822154665,5.567167015010450,1.102033060991830,47.235417062511878,23.769713091392742,11.533346000380011,3.781113433403002,6157.000000000000000,30.649999999999999,67614.000000000000000,84691.000000000000000,0.000000000000000,94432.000000000000000,0.444372259217151,0.808000000000000,0.000000000000000,1.118969694522493,0.000000000000000,0.000000000000000,0.211373992608231,0.000000000000000,0.000000000000000,-0.226427555364876,0.000000000000000,"0","0","0","0","0","0"
"17031071000",78.970223325062037,6.327543424317618,0.000000000000000,7.361455748552522,0.000000000000000,5.355665839536807,3.883495145631068,3.829557713052858,0.485436893203883,53.829557713052857,22.006472491909385,10.248112189859762,2.750809061488673,4836.000000000000000,24.250000000000000,0.000000000000000,51534.000000000000000,0.000000000000000,0.000000000000000,0.482009925558313,0.777000000000000,0.021033264934633,0.021033264934633,0.000000000000000,-0.374229488939010,-0.060788437065723,0.000000000000000,-1.795418107912361,0.511167694156434,0.000000000000000,"1","1","1","0","0","0"
"17031030103",51.204819277108435,23.012048192771083,0.361445783132530,13.734939759036143,0.000000000000000,10.361445783132531,3.808073115003808,21.782178217821784,4.112718964204113,37.395277989337394,21.934501142421933,3.731911652703732,0.533130236100533,2490.000000000000000,29.650000000000002,0.000000000000000,0.000000000000000,0.000000000000000,32438.000000000000000,0.453413654618474,0.778000000000000,0.000000000000000,1.118969694522493,0.000000000000000,0.000000000000000,-1.132739122263865,0.000000000000000,0.000000000000000,0.656741141435576,0.000000000000000,"1","1","0","0","0","0"
"17031030701",42.931937172774873,32.918848167539267,0.000000000000000,14.136125654450263,0.000000000000000,8.442408376963350,11.745776347546260,15.285599356395815,10.217216411906678,30.651649235720029,11.906677393403058,2.654867256637168,1.609010458567981,1528.000000000000000,36.750000000000000,25588.000000000000000,42176.000000000000000,0.000000000000000,35417.000000000000000,0.554319371727749,0.801500000000000,0.000000000000000,0.570001479728563,0.000000000000000,0.000000000000000,1.919909104708113,0.000000000000000,0.000000000000000,1.530825612770940,0.000000000000000,"0","1","0","0","0","0"
"17031063100",84.495452576873106,0.000000000000000,0.000000000000000,5.240363793850151,0.000000000000000,4.937202252057168,1.886792452830189,4.230989136649514,1.143510577472842,50.142938822184099,31.217838765008576,8.290451686678102,1.257861635220126,2309.000000000000000,29.950000000000003,73906.000000000000000,69167.000000000000000,2499.000000000000000,0.000000000000000,0.423559982676483,0.835000000000000,-1.076903164653227,0.021033264934633,0.000000000000000,-3.623434556260916,-0.809614200547166,0.000000000000000,0.672035797335747,0.747115643970867,0.000000000000000,"1","1","1","1","0","0"
"17031063400",79.984779299847801,4.071537290715373,0.000000000000000,7.952815829528157,0.000000000000000,5.060882800608828,3.285302593659942,6.167146974063400,3.573487031700288,50.432276657060513,25.878962536023053,6.512968299711816,2.305475504322767,2628.000000000000000,29.199999999999999,59036.000000000000000,70506.000000000000000,0.000000000000000,51237.000000000000000,0.507990867579909,0.806000000000000,0.021033264934633,1.118969694522493,0.021033264934633,-0.868286979939848,0.092602494014925,0.530368774681329,0.141677624183545,0.669245393972072,-0.518340062011871,"0","1","1","1","0","0"
"17031071400",82.012805122048817,4.921968787515006,0.000000000000000,5.762304921968788,0.000000000000000,4.361744697879152,3.441542592140591,5.296558457407859,1.122772760556505,46.277764217720282,22.870392970466195,11.398584329997560,4.344642421283866,4998.000000000000000,32.950000000000003,60286.000000000000000,75470.000000000000000,0.000000000000000,68260.000000000000000,0.535614245698279,0.777000000000000,0.021033264934633,0.021033264934633,-6.566585312592528,-0.483988006039232,-0.695246881336050,-3.184094652450264,-0.483208822186792,0.177252973788414,-3.785190790831688,"1","1","1","0","1","0"
"17031081600",74.360260913196186,1.831409934771701,0.000000000000000,16.407425990968388,0.000000000000000,3.562468640240843,2.093160377358490,5.277122641509433,1.267688679245283,45.283018867924532,28.066037735849058,9.522405660377359,4.127358490566038,3986.000000000000000,32.299999999999997,68205.000000000000000,85448.000000000000000,0.000000000000000,97554.000000000000000,0.522077270446563,1.010000000000000,0.021033264934633,0.000000000000000,0.021033264934633,0.058336016709938,0.000000000000000,1.071280441324011,0.711294885217437,0.000000000000000,1.198610958433245,"0","0","0","1","0","1"
"17031210502",26.168430335097003,3.549382716049382,0.000000000000000,1.763668430335097,0.000000000000000,61.794532627865962,33.548606390210736,8.565601631543169,5.472467709041468,17.267165193745750,8.089734874235214,3.195105370496261,0.203942895989123,4536.000000000000000,35.000000000000000,32795.000000000000000,39784.000000000000000,26250.000000000000000,26971.000000000000000,0.487433862433862,0.807333333333333,0.000000000000000,0.000000000000000,0.021033264934633,0.000000000000000,0.000000000000000,0.575372452616792,0.000000000000000,0.000000000000000,0.674039273000635,"0","0","0","0","0","1"
